name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite,ecsv_isCosmetic,ecsv_isRestricted,ecsv_isCustomizable,ecsv_applicableChecks,ecsv_lockedInChecks,ecsv_lockedOutChecks
Heavy Energy Integration,ehm_mr_heavyenergyintegration,,,Experimental,,,,,TRUE,,0,0,0,0,experimentalHullModifications.hullmods.ehm_mr.ehm_mr_heavyenergyintegration,Reduces the ordnance point cost of large energy weapons by %s.,Reduces ordnance point cost of large energy weapons.,,data/graphics/icons/energy_integration.png,,true,,,,
Mass Missile Retrofit Extension,ehm_mr_expensivemissiles,,,Experimental,,,,,TRUE,TRUE,0,0,0,0,experimentalHullModifications.hullmods.ehm_mr.ehm_mr_expensivemissiles,,,,,,true,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Red Shields,ehm_sc_redShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_csc_redShields,Customizable shield cosmetic that replaces shield colours with custom ones. Default colour is red.,"Customizable shield colours, default red.",,data/graphics/icons/redShields.png,true,,true,"reqShield, reqBase",,
Green Shields,ehm_sc_greenShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_csc_greenShields,Customizable shield cosmetic that replaces shield colours with custom ones. Default colour is green.,"Customizable shield colours, default green.",,data/graphics/icons/greenShields.png,true,,true,"reqShield, reqBase",,
Blue Shields,ehm_sc_blueShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_csc_blueShields,Customizable shield cosmetic that replaces shield colours with custom ones. Default colour is blue.,"Customizable shield colours, default blue.",,data/graphics/icons/blueShields.png,true,,true,"reqShield, reqBase",,
High-Tech Shields,ehm_sc_cyanShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_sc_highTechShields,Shield cosmetic retrofit that replaces the shield colours with high-tech ones.,High-tech shields colours.,,data/graphics/icons/hightechShields.png,true,,,"reqShield, reqBase",,
Low-Tech Shields,ehm_sc_magentaShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_sc_lowTechShields,Shield cosmetic retrofit that replaces the shield colours with low-tech ones.,Low-Tech shield colours.,,data/graphics/icons/lowtechShields.png,true,,,"reqShield, reqBase",,
Midline Shields,ehm_sc_purpleShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_sc_midlineShields,"Shield cosmetic retrofit that replaces the shield colours with midline ones. Even though midline doesn't have their own shield colours, this imitates a yellow one that suits their ships.",Midline shield colours.,,data/graphics/icons/midlineShields.png,true,,,"reqShield, reqBase",,
Crimson Shields,ehm_sc_yellowShields,1,,Experimental,"ehm, ehm_sc, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_sc.ehm_sc_crimsonShields,Shield cosmetic retrofit that replaces the shield colours with crimson ones. Pairs well with the crimson engines.,Crimson shield colours.,,data/graphics/icons/crimsonShields.png,true,,,"reqShield, reqBase",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Red Engines,ehm_cec_redEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_cec_redEngines,Customizable engine cosmetic that swaps the engine exhaust flames with custom ones. Default colours are red-heavy.,"Customizable engine colours, default red.",,data/graphics/icons/redEngines.png,true,,true,reqBase,,
Green Engines,ehm_cec_greenEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_cec_greenEngines,Customizable engine cosmetic that swaps the engine exhaust flames with custom ones. Default colours are green-heavy.,"Customizable engine colours, default green.",,data/graphics/icons/greenEngines.png,true,,true,reqBase,,
Blue Engines,ehm_cec_blueEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_cec_blueEngines,Customizable engine cosmetic that swaps the engine exhaust flames with custom ones. Default colours are blue-heavy.,"Customizable engine colours, default blue.",,data/graphics/icons/blueEngines.png,true,,true,reqBase,,
High-Tech Engines,ehm_ec_highTechEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_ec_highTechEngines,Engine cosmetic retrofit that swaps the engine exhaust flames with blue-white ones produced by high-tech engines.,Blue-white engine colours.,,data/graphics/icons/hightechEngines.png,true,,,reqBase,,
Low-Tech Engines,ehm_ec_lowTechEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_ec_lowTechEngines,Engine cosmetic retrofit that swaps the engine exhaust flames with orange-yellow ones produced by low-tech engines.,Orange-yellow engine colours.,,data/graphics/icons/lowtechEngines.png,true,,,reqBase,,
Midline Engines,ehm_ec_midlineEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_ec_midlineEngines,Engine cosmetic retrofit that swaps the engine exhaust flames with yellow-white ones produced by midline engines.,Yellow-white engine colours.,,data/graphics/icons/midlineEngines.png,true,,,reqBase,,
Crimson Engines,ehm_ec_torpedoEngines,1,,Experimental,"ehm, ehm_ec, no_build_in, no_drop, no_drop_salvage, special, restricted",Cosmetics,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ec.ehm_ec_crimsonEngines,Engine cosmetic retrofit that swaps the engine exhaust flames with red-white ones produced by some torpedo engines.,Red-white engine colours.,,data/graphics/icons/crimsonEngines.png,true,,,reqBase,,
